plant_id,plant_name,pdias,longindex,durflow,height,begflow,mycor,vegaer,vegsout,autopoll,insects,wind,lign,piq,ros,semiros,leafy,suman,winan,monocarp,polycarp,seasaes,seashiv,seasver,everalw,everparti,elaio,endozoo,epizoo,aquat,windgl,is_affected
2000408,Polmu,527.4,0,2,3,5,NA,0,2,1,3,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
2000409,Poptr,NA,0,2,8,2,2,0,2,0,0,4,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
2000410,Potre,0.28,0.444444444,4,2,6,2,2,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
2000411,Potst,0.58,0.666666667,4,1,2,2,2,0,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2000412,Privu,1.22,1,2,2,3,2,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
2000413,Pruav,NA,0,2,8,4,2,0,0,1,3,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
2000414,Pruce,NA,NA,3,7,3,NA,NA,NA,0,3,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
2000415,Prula,NA,NA,2,7,5,NA,0,0,0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2000416,Prusi,1684.3,0,3,6,3,1,0,2,1,3,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
2000417,Pteaq,NA,NA,3,5,8,2,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
2000418,Pyrsp,NA,NA,2,8,4,NA,0,0,0,4,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
2000419,Queil,NA,NA,2,8,5,NA,NA,NA,0,0,3,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
2000420,Ranac,1.74,0.393939394,5,2,5,2,1,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2000421,Ranre,1.82,0.723684211,3,2,5,2,2,0,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
2000422,Robps,NA,1,3,8,5,NA,0,2,0,3,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
2000423,Rosar,1.275,NA,2,5,6,NA,0,0,1,3,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,0,1,0,0,0,0
2000424,Rosca,NA,0,3,5,5,2,0,0,3,3,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
2000425,Rubca,NA,0,5,4,6,2,2,0,3,3,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
2000426,Rubfr,NA,0.444444444,4,6,6,2,0,2,1,3,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
2000427,Rubpe,NA,NA,2,5,6,NA,0,1,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2000428,Rumac,1.5,0.480769231,2,2,5,0,0,1,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2000429,Rumco,1.42,0.5,2,4,5,0,0,0,2,0,2,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
2000430,Rumcr,2.93,0.764705882,3,3,6,1,0,0,0,0,4,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1
2000431,Rumsa,1.42,0.75,3,4,6,NA,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2000432,Rusac,NA,0,4,4,1,NA,0,1,0,3,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2000433,Samni,89.23,0.5,2,7,6,1,0,0,2,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
2000434,Scrno,0.09,0.9,4,3,6,1,0,2,0,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
2000435,Soldu,NA,0.5,4,4,6,2,0,1,0,3,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
2000436,Sonol,0.4,0.789473684,6,4,6,2,0,0,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
2000437,Sordo,NA,NA,2,8,5,NA,0,0,1,3,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
2000438,Sorto,400,NA,2,8,5,NA,0,0,0,3,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
2000439,Stasy,1.55,0.4,3,3,6,2,0,2,1,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
2000440,Steho,3.11,0,3,3,4,0,2,0,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2000441,Steme,0.48,0.802631579,12,2,3,0,0,0,3,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
2000442,Symsp,NA,NA,2,5,7,NA,0,1,1,3,0,1,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,0,1,0,0,0,0
2000443,Tamco,NA,0,3,5,5,2,0,1,0,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
2000444,Tarsp,0.61,0.472222222,8,3,3,2,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2000445,Taxba,NA,NA,2,8,3,2,1,1,0,0,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2000446,Teusc,0.76,0.5,3,3,7,2,1,2,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
2000447,Trire,NA,0.6,7,1,6,2,2,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2000448,Ulemi,5.9,NA,4,5,7,NA,0,0,0,3,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
2000449,Ulmsp,9,0,2,8,2,2,0,1,0,1,3,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
2000450,Urtdi,0.19,0.795918367,5,5,6,0,0,2,0,1,3,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
2000451,Verch,0.22,0.4,3,2,4,1,0,2,2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2000452,Vicsa,39.44,0.45,3,5,5,2,0,0,3,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
2000453,Vicse,21.4,0.111111111,4,4,5,2,0,2,2,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
2000455,Viohi,3,0.333333333,2,2,4,2,0,0,2,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
2000456,Viore,4,0.5,2,1,4,NA,0,0,2,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
