Id,Semana,Agencia_ID,Canal_ID,Ruta_SAK,Cliente_ID,Producto_ID,Venta_uni_hoy,Venta_hoy,Dev_uni_proxima,Dev_proxima,Demanda_uni_equil,NombreCliente,NombreProducto,Town,State
25,8,1111,1,1024,76554,1146,1,21.39,0,0.0,1,ALEX,Pan Integral 675g BIM 1146,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
26,9,1111,1,1012,75059,1146,9,192.51,0,0.0,9,DON PEPE,Pan Integral 675g BIM 1146,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
27,7,1111,1,1414,1378573,1284,48,144.96,0,0.0,48,VENTANA BLANCA,Rebanada 2p 55g BIM 1284,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
28,8,1111,1,1418,50348,1284,9,27.18,0,0.0,9,CASA LOPEZ,Rebanada 2p 55g BIM 1284,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
29,8,1111,1,1408,2292227,1238,2,19.66,0,0.0,2,MISCELANEA ELY,Panquecito Gota Choc 2p 140g BIM 1238,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
30,5,1111,1,1402,709977,35651,2,15.0,0,0.0,2,ALEXIS,Madalenas 3p 93g BIM 35651,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
31,6,1111,1,1201,430888,35651,5,37.5,0,0.0,5,EL TREBOL,Madalenas 3p 93g BIM 35651,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
32,7,1111,1,1405,1222686,3270,2,20.94,0,0.0,2,GIOVANI,Conchas Vainilla 2p 120g BIM 3270,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
33,5,1111,1,1003,1527357,2233,2,39.88,0,0.0,2,EL MAY 2,Pan Blanco 640g BIM 2233,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
34,9,1111,1,1424,4257737,1309,4,27.04,0,0.0,4,NO IDENTIFICADO,Bimbunuelos 4p 66g BIM 1309,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
35,6,1111,1,1633,65520,4280,7,42.0,0,0.0,7,PUEBLO NUEVO,Doraditas 110g TR 4280,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
36,7,1111,1,1643,4558641,4280,5,30.0,0,0.0,5,NO IDENTIFICADO,Doraditas 110g TR 4280,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
37,8,1111,1,1204,4450166,48077,4,57.04,0,0.0,4,NO IDENTIFICADO,Totopo Chilaquiles 280g MR 48077,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
38,5,1111,1,1215,4522190,972,2,37.96,0,0.0,2,NO IDENTIFICADO,Roles Canela 6p 365g BIM 972,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
39,6,1111,1,1402,4104375,972,2,37.96,0,0.0,2,NO IDENTIFICADO,Roles Canela 6p 365g BIM 972,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
40,8,1111,1,1411,73942,972,2,37.96,0,0.0,2,CASA RUBY,Roles Canela 6p 365g BIM 972,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
41,6,1111,1,1015,2257694,1109,1,15.01,0,0.0,1,JUGOS Y LICUADOS VEGA,Pan Blanco Chico 360g BIM 1109,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
42,7,1111,1,1017,1081976,1109,3,45.03,0,0.0,3,EL SOL,Pan Blanco Chico 360g BIM 1109,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
43,8,1111,1,1622,50420,323,2,16.3,0,0.0,2,LA FORTUNA,Tuinky Chocolate 3p 114g WON 323,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
44,6,1111,1,1623,22248,30415,5,37.5,0,0.0,5,ABARROTES LA ABUNDANCIA,Polvoroncitos Caseros 8p 130g TR 30415,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
45,6,1111,1,1419,61854,1278,7,31.5,0,0.0,7,LA ESTRELLITA,Nito 1p 62g BIM 1278,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
46,8,1111,1,1022,39161,3144,6,127.92,0,0.0,6,ROSY,Pan Multigrano 540g BIM 3144,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
47,9,1111,1,1014,74493,1150,8,111.68,0,0.0,8,MI ROSITA,Medias Noches 8p 340g BIM 1150,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
48,4,1111,1,1015,66631,1182,5,69.7,0,0.0,5,KARITO,Tostado 210g CU BIM 1182,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
49,4,1111,1,1010,1284664,35727,6,57.6,0,0.0,6,SAN MIGUEL,Tortillina 50pct menos Grasa 328g TR 35727,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
50,5,1111,1,1007,1987519,35727,3,28.8,0,0.0,3,JUNIOR,Tortillina 50pct menos Grasa 328g TR 35727,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
51,7,1111,1,1009,2485418,4910,4,35.68,0,0.0,4,EL SOL SALE PARA TODOS III,Empanizador Crujiente 175g BIM 4910,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
52,7,1111,1,1022,73510,4910,4,35.68,0,0.0,4,SAN LUCAS,Empanizador Crujiente 175g BIM 4910,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
53,6,1111,1,4413,76841,43084,5,40.75,0,0.0,5,LA QUINTA,Submarinos Chocolate 3p 105g SP MTA MLA 43084,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
54,8,1111,1,4407,883143,43064,2,16.3,0,0.0,2,GOMEZ,Submarinos Fresa 3p 105g SP MTA MLA 43064,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
55,9,1111,1,1010,2267433,73,3,63.96,0,0.0,3,ABARROTES LOS CUATES DE TUCSON,Pan Multigrano Linaza 540g BIM 73,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
56,8,1111,1,1621,460375,4270,1,8.38,0,0.0,1,LA LUNA,Cuernitos 100g TR 4270,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
57,5,1111,1,2105,50110,30555,3,16.14,0,0.0,3,LAS GARZAS,Suavicremas Vainilla 84g MTA MLA 30555,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
58,6,1111,1,2115,73540,30555,5,26.9,0,0.0,5,GENARO ALVAREZ ALEJO,Suavicremas Vainilla 84g MTA MLA 30555,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
59,8,1111,1,2117,73901,30555,1,5.38,0,0.0,1,LA CHIQUITA,Suavicremas Vainilla 84g MTA MLA 30555,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
60,6,1111,1,1213,4670645,1272,4,41.88,0,0.0,4,NO IDENTIFICADO,Conchas Chocolate 2p 120g BIM 1272,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
61,4,1111,1,1628,73877,2505,2,15.04,0,0.0,2,CASA GONZALEZ,Mini Bigotes Chocolate 5p 65g SP TR 2505,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
62,5,1111,1,2102,49931,32934,2,14.08,0,0.0,2,RAUL SANTANA,Lors 10p 98g MTB MLA 32934,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
63,5,1111,1,2105,49301,32934,4,28.16,0,0.0,4,EL PUERTO DE VERACRUZ,Lors 10p 98g MTB MLA 32934,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
64,5,1111,1,1406,50469,1212,2,16.76,0,0.0,2,HERMANOS ROMERO,Roles Canela 2p 120g BIM 1212,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
65,5,1111,1,4407,2485418,43316,6,48.9,0,0.0,6,EL SOL SALE PARA TODOS III,Submarinos Vainilla 3p 105g SP MTA MLA 43316,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
66,8,1111,1,4411,64570,43316,2,16.3,0,0.0,2,ASI ES LA VIDA,Submarinos Vainilla 3p 105g SP MTA MLA 43316,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
67,5,1111,1,2115,73888,30569,2,14.08,0,0.0,2,VALENTIN MEXICANO,Barritas Fresa Salvado 67g Prom MTB MLA 30569,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
68,6,1111,1,4402,49931,32861,7,38.22,0,0.0,7,RAUL SANTANA,Chocochispas 80g SP MTA LAR 32861,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
69,9,1111,1,1629,2349920,325,2,16.3,0,0.0,2,MARINA LOPEZ VALADEZ,Tuinky Vainilla 3p 114g WON 325,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F."
70,3,1122,1,1450,2051643,1242,1,7.64,0,0.0,1,CREMERIA VARGAS,Donitas Espolvoreadas 6p 105g BIM 1242,2019 AG. XALOSTOC,ESTADO DE MÉXICO
71,5,1122,1,1452,80021,1242,2,15.28,0,0.0,2,SIERRA NORIDA,Donitas Espolvoreadas 6p 105g BIM 1242,2019 AG. XALOSTOC,ESTADO DE MÉXICO
72,7,1122,1,1443,2420781,1242,3,22.92,0,0.0,3,SEBASTIAN PACHECO RAMIREZ,Donitas Espolvoreadas 6p 105g BIM 1242,2019 AG. XALOSTOC,ESTADO DE MÉXICO
73,8,1122,1,1473,4291888,1242,6,45.84,0,0.0,6,NO IDENTIFICADO,Donitas Espolvoreadas 6p 105g BIM 1242,2019 AG. XALOSTOC,ESTADO DE MÉXICO
74,8,1122,1,1469,602161,3919,5,22.9,0,0.0,5,LA CONCHITA,Barra Multigrano Linaza 32g BIM 3919,2019 AG. XALOSTOC,ESTADO DE MÉXICO
75,7,1122,1,1064,605281,1125,2,19.2,0,0.0,2,LA LUPITA,Tortillinas 10p 255g TR 1125,2019 AG. XALOSTOC,ESTADO DE MÉXICO
76,7,1122,1,1231,4683514,1125,9,86.4,0,0.0,9,NO IDENTIFICADO,Tortillinas 10p 255g TR 1125,2019 AG. XALOSTOC,ESTADO DE MÉXICO
77,4,1122,1,1095,1101717,1129,10,176.0,0,0.0,10,LUIGUI,Tortillinas 20p 510g TR 1129,2019 AG. XALOSTOC,ESTADO DE MÉXICO
78,7,1122,1,1056,80199,1129,3,52.8,0,0.0,3,LA MODERNA,Tortillinas 20p 510g TR 1129,2019 AG. XALOSTOC,ESTADO DE MÉXICO
79,4,1122,1,1477,55945,41938,3,29.73,0,0.0,3,LA VENTANITA,Mantecadas Nuez 123g BIM 41938,2019 AG. XALOSTOC,ESTADO DE MÉXICO
80,5,1122,1,1460,604446,1064,1,16.67,0,0.0,1,LIZETH,Panque Marmol 255g BIM 1064,2019 AG. XALOSTOC,ESTADO DE MÉXICO
81,3,1122,1,1464,605107,1240,5,41.9,0,0.0,5,DIANITA,Mantecadas Vainilla 4p 125g BIM 1240,2019 AG. XALOSTOC,ESTADO DE MÉXICO
82,4,1122,1,1223,4559365,1240,3,25.14,0,0.0,3,NO IDENTIFICADO,Mantecadas Vainilla 4p 125g BIM 1240,2019 AG. XALOSTOC,ESTADO DE MÉXICO
83,4,1122,1,1462,606618,1240,20,167.6,0,0.0,20,LUPITA,Mantecadas Vainilla 4p 125g BIM 1240,2019 AG. XALOSTOC,ESTADO DE MÉXICO
84,6,1122,1,1489,715144,1240,7,58.66,0,0.0,7,LA DIVINA PROVIDENCIA,Mantecadas Vainilla 4p 125g BIM 1240,2019 AG. XALOSTOC,ESTADO DE MÉXICO
85,6,1122,1,1495,605441,1240,6,50.28,0,0.0,6,GONZO,Mantecadas Vainilla 4p 125g BIM 1240,2019 AG. XALOSTOC,ESTADO DE MÉXICO
86,8,1122,1,1232,887685,1240,3,25.14,0,0.0,3,MAY PES,Mantecadas Vainilla 4p 125g BIM 1240,2019 AG. XALOSTOC,ESTADO DE MÉXICO
87,8,1122,1,1480,607400,1240,11,92.18,0,0.0,11,LOURDES,Mantecadas Vainilla 4p 125g BIM 1240,2019 AG. XALOSTOC,ESTADO DE MÉXICO
88,9,1122,1,1453,80600,1240,5,41.9,0,0.0,5,EL BUHO,Mantecadas Vainilla 4p 125g BIM 1240,2019 AG. XALOSTOC,ESTADO DE MÉXICO
89,4,1122,1,1464,892356,31423,6,64.14,0,0.0,6,DON JOSE,Donas Azucar Tubo 10p 158g BIM 31423,2019 AG. XALOSTOC,ESTADO DE MÉXICO
90,6,1122,1,1493,606191,1230,1,16.67,0,0.0,1,LA ESPERANZA,Panque Pasas 255g BIM 1230,2019 AG. XALOSTOC,ESTADO DE MÉXICO
91,9,1122,1,1065,608075,3631,2,32.7,0,0.0,2,LA GUADALUPANA,Pan Integral 370g BIM 3631,2019 AG. XALOSTOC,ESTADO DE MÉXICO
92,6,1122,1,1482,530791,1232,6,109.44,0,0.0,6,EL SOL,Panque Nuez 255g BIM 1232,2019 AG. XALOSTOC,ESTADO DE MÉXICO
93,7,1122,1,1223,2090303,1232,1,18.24,0,0.0,1,NOEMI BARTOLON VELAZQUEZ,Panque Nuez 255g BIM 1232,2019 AG. XALOSTOC,ESTADO DE MÉXICO
94,3,1122,1,1484,611575,1220,10,76.4,0,0.0,10,CLAUDIO,Colchones 6p 130g BIM 1220,2019 AG. XALOSTOC,ESTADO DE MÉXICO
95,3,1122,1,1487,604548,1220,8,61.12,0,0.0,8,LA MICHOACANA,Colchones 6p 130g BIM 1220,2019 AG. XALOSTOC,ESTADO DE MÉXICO
96,3,1122,1,1489,738836,1220,4,30.56,0,0.0,4,GARCIA,Colchones 6p 130g BIM 1220,2019 AG. XALOSTOC,ESTADO DE MÉXICO
97,5,1122,1,1474,2301168,1220,4,30.56,0,0.0,4,MISCELANEA LOS GUEROS,Colchones 6p 130g BIM 1220,2019 AG. XALOSTOC,ESTADO DE MÉXICO
98,6,1122,1,1496,2259074,1220,2,15.28,0,0.0,2,ABARROTES PATY,Colchones 6p 130g BIM 1220,2019 AG. XALOSTOC,ESTADO DE MÉXICO
99,9,1122,1,1471,79763,1220,5,38.2,0,0.0,5,LA QUIMERA,Colchones 6p 130g BIM 1220,2019 AG. XALOSTOC,ESTADO DE MÉXICO
100,4,1122,1,1045,976032,1146,1,21.39,0,0.0,1,ALEGRIA,Pan Integral 675g BIM 1146,2019 AG. XALOSTOC,ESTADO DE MÉXICO
101,7,1122,1,1044,609105,1146,1,21.39,0,0.0,1,UNIDOS,Pan Integral 675g BIM 1146,2019 AG. XALOSTOC,ESTADO DE MÉXICO
102,4,1122,1,1471,80019,1284,17,51.34,2,6.04,15,LA UNION MOY,Rebanada 2p 55g BIM 1284,2019 AG. XALOSTOC,ESTADO DE MÉXICO
103,8,1122,1,1454,80235,1284,5,15.1,0,0.0,5,GABRIELA,Rebanada 2p 55g BIM 1284,2019 AG. XALOSTOC,ESTADO DE MÉXICO
104,8,1122,1,1481,1222070,1284,2,6.04,0,0.0,2,ALEX II,Rebanada 2p 55g BIM 1284,2019 AG. XALOSTOC,ESTADO DE MÉXICO
105,6,1122,1,1478,1934458,35651,10,75.0,0,0.0,10,DEPOSITO YOVIS,Madalenas 3p 93g BIM 35651,2019 AG. XALOSTOC,ESTADO DE MÉXICO
106,7,1122,1,1464,2267208,3270,3,31.41,0,0.0,3,MISCELANEA LUPITA,Conchas Vainilla 2p 120g BIM 3270,2019 AG. XALOSTOC,ESTADO DE MÉXICO
107,8,1122,1,1475,1291352,3270,2,20.94,0,0.0,2,LADY,Conchas Vainilla 2p 120g BIM 3270,2019 AG. XALOSTOC,ESTADO DE MÉXICO
108,8,1122,1,1482,647740,3270,2,20.94,0,0.0,2,MARU,Conchas Vainilla 2p 120g BIM 3270,2019 AG. XALOSTOC,ESTADO DE MÉXICO
109,5,1122,1,1087,605112,2233,3,59.82,0,0.0,3,ELY,Pan Blanco 640g BIM 2233,2019 AG. XALOSTOC,ESTADO DE MÉXICO
110,6,1122,1,1492,602147,1250,7,53.48,0,0.0,7,MICHELL,Donas Azucar 4p 105g BIM 1250,2019 AG. XALOSTOC,ESTADO DE MÉXICO
111,7,1122,1,1458,608450,1250,12,91.68,0,0.0,12,LETY,Donas Azucar 4p 105g BIM 1250,2019 AG. XALOSTOC,ESTADO DE MÉXICO
112,8,1122,1,1450,441811,1250,4,30.56,0,0.0,4,BLANCA,Donas Azucar 4p 105g BIM 1250,2019 AG. XALOSTOC,ESTADO DE MÉXICO
113,8,1122,1,1470,72386,1250,2,15.28,0,0.0,2,CASA JORGE,Donas Azucar 4p 105g BIM 1250,2019 AG. XALOSTOC,ESTADO DE MÉXICO
114,9,1122,1,1463,1250640,1250,16,122.24,0,0.0,16,CASA MAMI CARI,Donas Azucar 4p 105g BIM 1250,2019 AG. XALOSTOC,ESTADO DE MÉXICO
115,4,1122,1,1451,4367479,1309,2,13.52,0,0.0,2,NO IDENTIFICADO,Bimbunuelos 4p 66g BIM 1309,2019 AG. XALOSTOC,ESTADO DE MÉXICO
116,6,1122,1,1450,601376,1309,4,27.04,0,0.0,4,JUANITA,Bimbunuelos 4p 66g BIM 1309,2019 AG. XALOSTOC,ESTADO DE MÉXICO
117,9,1122,1,1472,80534,1309,2,13.52,0,0.0,2,LOS PANCHOS,Bimbunuelos 4p 66g BIM 1309,2019 AG. XALOSTOC,ESTADO DE MÉXICO
118,7,1122,1,1222,233669,46772,5,44.6,0,0.0,5,MARY,Pan Molido 210g BIM 46772,2019 AG. XALOSTOC,ESTADO DE MÉXICO
119,4,1122,1,1448,600877,972,3,56.94,0,0.0,3,LA CREMA,Roles Canela 6p 365g BIM 972,2019 AG. XALOSTOC,ESTADO DE MÉXICO
120,4,1122,1,1479,603408,972,1,18.98,0,0.0,1,LA TERMINAL,Roles Canela 6p 365g BIM 972,2019 AG. XALOSTOC,ESTADO DE MÉXICO
121,5,1122,1,1479,1284786,972,4,75.92,0,0.0,4,FARMACIA DE JESUS,Roles Canela 6p 365g BIM 972,2019 AG. XALOSTOC,ESTADO DE MÉXICO
122,4,1122,1,1054,1069401,1109,1,15.01,0,0.0,1,LAURA,Pan Blanco Chico 360g BIM 1109,2019 AG. XALOSTOC,ESTADO DE MÉXICO
123,7,1122,1,1055,1836836,1109,11,165.11,0,0.0,11,EXPENDIO DE PAN SAN JOSE,Pan Blanco Chico 360g BIM 1109,2019 AG. XALOSTOC,ESTADO DE MÉXICO
124,8,1122,1,1046,2435979,1109,2,30.02,0,0.0,2,OASIS JALISCO,Pan Blanco Chico 360g BIM 1109,2019 AG. XALOSTOC,ESTADO DE MÉXICO
125,7,1122,1,1065,605349,32802,6,71.46,0,0.0,6,LA PAZ,Tortillas de Maiz 800g MR 32802,2019 AG. XALOSTOC,ESTADO DE MÉXICO
126,3,1122,1,1495,605921,1278,25,112.5,0,0.0,25,LA GUADALUPANA,Nito 1p 62g BIM 1278,2019 AG. XALOSTOC,ESTADO DE MÉXICO
127,4,1122,1,1445,4512921,1278,2,9.0,0,0.0,2,NO IDENTIFICADO,Nito 1p 62g BIM 1278,2019 AG. XALOSTOC,ESTADO DE MÉXICO
128,6,1122,1,1485,604124,1278,75,337.5,0,0.0,75,LA JALICIENSE,Nito 1p 62g BIM 1278,2019 AG. XALOSTOC,ESTADO DE MÉXICO
129,7,1122,1,1225,2169028,1278,11,49.5,0,0.0,11,ABARROTES LOS COMPADRES,Nito 1p 62g BIM 1278,2019 AG. XALOSTOC,ESTADO DE MÉXICO
130,7,1122,1,1496,818517,1278,6,27.0,0,0.0,6,DAVID TAPIA RIVERA,Nito 1p 62g BIM 1278,2019 AG. XALOSTOC,ESTADO DE MÉXICO
131,8,1122,1,1449,140552,1278,13,58.5,0,0.0,13,EL OLIVO,Nito 1p 62g BIM 1278,2019 AG. XALOSTOC,ESTADO DE MÉXICO
132,4,1122,1,1078,56035,3144,2,42.64,0,0.0,2,BETTY,Pan Multigrano 540g BIM 3144,2019 AG. XALOSTOC,ESTADO DE MÉXICO
133,8,1122,1,1483,530118,1216,7,58.66,1,8.38,6,LAS CRUCES,Roles Glass 2p 135g BIM 1216,2019 AG. XALOSTOC,ESTADO DE MÉXICO
134,4,1122,1,1058,608732,31392,2,44.44,0,0.0,2,LA NUEVA UNION,Pan Doble Fibra 640g BIM 31392,2019 AG. XALOSTOC,ESTADO DE MÉXICO
135,7,1122,1,1495,609560,48421,2,9.16,1,4.58,1,LA OAXAQUEÑA,Bran Frut Pina 48g BIM 48421,2019 AG. XALOSTOC,ESTADO DE MÉXICO
136,8,1122,1,1051,72730,4767,3,44.37,0,0.0,3,BLANQUITA,Tostado Doble Fibra 250g Cj BIM 4767,2019 AG. XALOSTOC,ESTADO DE MÉXICO
137,9,1122,1,1087,604167,31690,2,29.58,0,0.0,2,LOS PINOS,Tostado Integral 250g CU BIM 31690,2019 AG. XALOSTOC,ESTADO DE MÉXICO
138,7,1122,1,1055,741749,32322,6,48.0,0,0.0,6,JARDINES,Tortilla Hna RB 10p 260g Prom DH 32322,2019 AG. XALOSTOC,ESTADO DE MÉXICO
139,3,1126,1,1224,4573173,1242,5,38.2,0,0.0,5,NO IDENTIFICADO,Donitas Espolvoreadas 6p 105g BIM 1242,2017 AG. SANTA CLARA,ESTADO DE MÉXICO
140,7,1126,1,1421,595848,1242,1,7.64,0,0.0,1,SOSA,Donitas Espolvoreadas 6p 105g BIM 1242,2017 AG. SANTA CLARA,ESTADO DE MÉXICO
141,8,1126,1,1440,349851,1242,4,30.56,0,0.0,4,LA ESTRELLA,Donitas Espolvoreadas 6p 105g BIM 1242,2017 AG. SANTA CLARA,ESTADO DE MÉXICO
142,3,1126,1,1007,556762,1125,10,96.0,0,0.0,10,ANITA,Tortillinas 10p 255g TR 1125,2017 AG. SANTA CLARA,ESTADO DE MÉXICO
143,3,1126,1,1043,680299,1125,12,115.2,0,0.0,12,GABY,Tortillinas 10p 255g TR 1125,2017 AG. SANTA CLARA,ESTADO DE MÉXICO
144,3,1126,1,1204,609807,1125,8,76.8,0,0.0,8,LOS CHIVOS,Tortillinas 10p 255g TR 1125,2017 AG. SANTA CLARA,ESTADO DE MÉXICO
145,4,1126,1,1209,4585728,1129,3,52.8,0,0.0,3,NO IDENTIFICADO,Tortillinas 20p 510g TR 1129,2017 AG. SANTA CLARA,ESTADO DE MÉXICO
146,9,1126,1,1044,557588,1129,2,35.2,0,0.0,2,PERLITA,Tortillinas 20p 510g TR 1129,2017 AG. SANTA CLARA,ESTADO DE MÉXICO
147,3,1126,1,1403,608726,41938,1,9.91,0,0.0,1,EL TIGRE,Mantecadas Nuez 123g BIM 41938,2017 AG. SANTA CLARA,ESTADO DE MÉXICO
148,9,1126,1,1221,881950,41938,2,19.82,0,0.0,2,CRIS,Mantecadas Nuez 123g BIM 41938,2017 AG. SANTA CLARA,ESTADO DE MÉXICO
149,6,1126,1,1218,2286506,1064,1,16.67,0,0.0,1,LA PEQUEA,Panque Marmol 255g BIM 1064,2017 AG. SANTA CLARA,ESTADO DE MÉXICO
150,9,1126,1,1453,2117998,1064,1,16.67,0,0.0,1,LOS QUIQUES,Panque Marmol 255g BIM 1064,2017 AG. SANTA CLARA,ESTADO DE MÉXICO
